text,label,stop_words
say goodbye fam theyre sad cry feel like heartless bitch hey im pretty excited flying first time know also spend year another country,anger,18
wont let child cry feel loving lily little going opportunity lasted short month,love,20
alba feel good im fitting,joy,4
feel excited im feel like ton catching,joy,13
also know good feel look back see honored word help start,joy,12
mean really really hard work obtain high technical skill wushu feel kinda ashamed somehow motivated saw kid wushu performance whole heartedly despite tiredness,sadness,10
feel like thing getting little overwhelming spritz toner really help calm soothe,joy,9
hope realize little effort required make person feel better situation whether family member college high school friend neighbor street even complete stranger,joy,22
feeling festive today even going put tree soon finished catching week going ons coronation street,joy,21
finding ill seriously,joy,6
alright class combination feeling unsuccessful man handled stress late horrible week resulted almost cry finished grappling,sadness,15
feel rarely advance worthwhile cause always stick rule posting anything online wouldnt prepared say somebody face,joy,14
feeling useful,joy,3
feel like pain cannot imagine becoming passionate group idea causing pain,love,13
feel ugly inclined wear ratty jean sweatshirt beautiful dress though might still wear pair heel around house boost self esteem ever slightly definitely bother buy new pair,sadness,22
im feeling homesick yet im feeling alright,sadness,4
dance feel pretty,joy,3
workout every morning feel fabulous,joy,5
feel eye touch word eye know assuredly return love know shall vain,sadness,27
feeling fabulous friday morning started get awful cramp work,joy,8
feel honoured able call friend share brotherhood,joy,8
begun feel apprehensive thick black rain cloud stormed sky town,fear,7
stated reason feel fearful feel unsafe,fear,10
feel like getting shaken tsa quite yet pulled side creative croissant lunch,fear,14
get group feel really awkward overcompensate talkative getting really quiet,sadness,9
excited finally meet companion companion time especially lonely lonely companion never disappoint companion put arm around make feel loved,love,28
feel pretty safe blog img src http,joy,6
feel pretty eager get done fun plan quilting,joy,9
feeling horny ask let go home,love,6
think poem put pressure feel uncomfortable sense feeling feel understanding understand loving able love,fear,28
feel stranger strange land raising son place father ancestral home,surprise,20
left shower questioning feel gorgeous fantastic body confident movement effortlessly graceful,joy,12
feel energetic bouncy happy go gym run around outside kid take pram long walk often three one day,joy,19
still feeling strong,joy,2
burst tear devastating release feeling thought seemed know rich also go space without dumping,joy,22
wanted get pumpkin spice latte morning hot last thing wanted hot coffee maybe feeling little bitter,anger,15
suppose feel badly bit skeptical pain last month shes hyperchondria exaggeration habit past though never openly questioned,fear,20
clench corner bed feel assured,joy,6
also feel like selfish grateful life amazing thing,anger,16
called god seen god book figured god right name feeling utterly affirmed accepted without question,love,13
know perhaps girl office nice short hair perhaps feeling rebellious,anger,13
feel miserable family type celebrates eid,sadness,11
might go get car wash feeling really generous car need,joy,7
still feel sleep deprived almost sleeping night giving u,sadness,5
feel really violent right,anger,3
bloging sitting feeling content dog amp cat etc know lucky truth,joy,17
started feeling funny friday woke sick dog,surprise,7
feel need protect parent witch hunt repressed memory therapy,sadness,9
feel disgusted even associated woman race nationality,anger,8
laughed bitterly wasnt feeling bitter,anger,5
know feeling thought wished could u u knew however much hated first experience would remember forever,sadness,27
feeling quite mellow wanted soft easy look wear beginning cold,joy,10
told maybe need time think ive feeling indecisive thing lately,fear,9
still feel genre disservice story resolved artifically,joy,7
always know feeling artistic write name artistic mood manitz draw circle dot bigger dot artistic feeling line like accent mark spanish im pissed,joy,33
remember feeling really terrified brazil bus going steep mountain hill side mountain middle big storm wondering going fall,fear,23
could feel whimper thought unloved uncared,sadness,8
im certainly going sit tell whats going personal life feel ever curious whats going life youd watch show,surprise,22
im sorry wasnt humor post im feeling funny,surprise,9
feel ive got foot door fantastic world walking running trail fell mountain,joy,10
say whatever come mind tell directly feel jealous girl insecure love person trust worthy friend sweet one love,anger,20
feel strange coming back work one day holiday,fear,4
im clearly influenced dash happiness emily dickinson example use dash instead colon semi colon enhance feeling rushed enjambment sonnet,anger,13
fatter thing life remain control whether get eat peanut butter bread get home impossible day first world looking yet third world feeling hell needy neglected little girl,sadness,25
could claim redeem genre leave feeling entirely frustrated point beating head wall either,anger,15
feel sad hopeless,sadness,3
im getting feeling class little intimidated concept lit,fear,9
still feel groggy get routine son,sadness,11
feeling view isnt going popular thats fine,joy,8
want hold feeling shocked awe wonder forever,surprise,5
heard rumour st year exam result fear might one failure,fear,14
want feel valued appreciated know people love arent going anywhere even nature relationship change,joy,15
know day feel distracted,anger,6
use regularly relaxing music always feel invigorated afterward,joy,4
im feeling distracted tend practice eye shut much possible,anger,6
feel like perfect w see youtube influence even know trend,joy,6
specifically wanted tango feeling shy mak quite opposite hard get far enough away get good pic lol,fear,8
also feel weird sleeping bed two slept,fear,12
wish okay thinking earlier today here thing cooped amp restless made feel needy,sadness,15
ive lost weight could fit tiny skirt ive unable wear didnt feel confident,joy,15
hope feel bit creative soon miss presence life blog,joy,9
fan current president conservative made feel unwelcome,sadness,11
enclose verse could weigh much thinking feeling curious hear odd couple,surprise,10
begin feel complacent life,joy,5
feel vulnerable alone,fear,2
remember feeling inspired thinking fine example parenting,joy,7
feel like always one getting punished stupid thing feel like chastised behaving,sadness,11
really feel life perfect right isnt much ask hope everything would stay,joy,16
im simply feel contented,joy,2
im saying cut everyone life feel important find comfort solitude meditation working project alone,joy,11
think im stupid feeling nervous,fear,3
feel honored,joy,3
feeling act god work life amazing feeling,surprise,11
feel im like bird flying air carefree manner,joy,7
revise reply mind make sure reply sound appropriate enough person receive reply feel offended,anger,21
felt sad friend mine died felt something irrevocably gone away,sadness,10
died would alex matt feel regretful coming visit,sadness,5
feel educating family supporting educationg mama papa key,joy,6
im sure lost feel like everyone hostile toward hate feeling,anger,12
feel like boring sewing make since easy nothing else say fabric usage,sadness,15
always liked use original fragrance freshen lightly scent underwear drawer feel gorgeously glamorous girly,joy,10
feel like talented young man feel talented work,joy,11
feel curious thing around,surprise,4
feel reason apart others life im help become something push succeed successful happy,joy,17
feel uncomfortable guess,fear,10
feel pretty mellow far whatever healing wounding process may getting underway,joy,4
wonder sometimes whether added antagonism misunderstanding many people towards u feel reluctant wholeheartedly support traditional armistice day remembrance,fear,14
leg would feel shitty mile would come around like always,sadness,7
know unfair reaction run way explain feel shaken best come right,fear,18
seriously feel blessed support home amazing,love,10
feel abused maligned mostly tired nervous feeling anticipating danger,sadness,5
feeling pretty restless right typing,fear,5
know gosman touristy place go montauk area infrequent visitor area want head harbor feel gentle cawing seagull lapping water wood piling relaxing breeze coming water,love,26
admit hilarious e card seriously exactly feel stressed feel moment could start hy,sadness,15
wrote last year feeling dull inarticulate normal,sadness,7
id kick gear feel irritable motivation ever,anger,9
feel child innocent feeling illustrating,joy,4
satisfaction feeling longer supporting contributing looter driven consumerism made walking corpse america revered younger,love,22
start feel resentful,anger,3
spend vacation obligation headache feeling like emotional blackmailed three place,sadness,15
feel herpes coming would surprised point make checkup clinic wednesday,surprise,16
feel fucked like everyday life,anger,4
ive worked really hard year try make child class feel like valued,joy,8
feeling disheartened word late,sadness,6
feel like bitchy time upon retrospect think trying shake,anger,19
still second guess still terrible time making definitive decision certain truth know feel assured truth,joy,17
feel like egg benedict something equally delicious,joy,6
im feeling way trusting,joy,4
im feeling inspired summery element favorite past time beach bummin,joy,5
feel smiled love even gorgeous,joy,7
continue define discover home mean amsterdam whenever feel pang blank sickness line missing cultural mindset american city life much different cultural mindset amsterdam,sadness,22
make arcade simple purpose try make feel absolutely comfortable physically emotionally practically absolutely,joy,13
say feel sympathetic,love,6
feeling eager hopped tube ride eye london,joy,10
go online see friend talking another one talking feel ignored feel unloved,sadness,12
monitoring say anything ever come across blog feel offended please dont stop,anger,17
feel like weird cancer one time,surprise,8
want feel safe well maybe maybe there small chance feel joy dream come true,joy,13
im feeling cranky,anger,0
also think puzzling particular administrator singled praise ability get student read feel ssr time productive use class time,joy,22
tried fill befriending people knew using didnt care needed feel accepted even complete loser,love,19
feel stressed always,sadness,1
remember feeling another cramp also ignored,sadness,4
hope feel mellow well fed well slept peace within external world,joy,6
also learned take lot effort positive thinking break tear feeling exhausted guilty better mom,sadness,18
im feeling awful hung friend new baby day,sadness,9
feel relaxed fine,joy,3
feel suffering really feel pain,sadness,5
go sleep feel giving precious time something else life,joy,12
feel like neglecting beloved mom blog,joy,5
shalt say co din feel thing wrote hw keen xxx,joy,10
feel terrified like im edge precipice staring ahead,fear,6
feel totally listless exam come gone whole five month front uni free time,sadness,16
feel furious right life advocate tell live die lobbying supporting politician sympathic view,anger,15
feel abused way,sadness,7
im still paying attention feel distracted,anger,2
started third block feeling hot cold tingly time knowing still five hour examination ahead idea would good,love,22
im hesitant make suggestion feel outcome would sincere,joy,8
feel terribly fond majority precise time,love,7
feel gaining control damaged good aspect personal security,sadness,7
bombed first interview left second interview feeling pretty fan freaking tastic,joy,7
think kind taken u long build good inventory sauce oil spice non perishable feel like chance making something delicious without specifically go buy every single item recipe,joy,21
feel advise dad whose child soon become teenager cool pull kid high school pick smelly jalopy plant coming window,joy,22
feel victimized drag country head sand traditionalist hesitate call conservative fear offending real honest god conservative still think world created year ago stuff like skeletal remains kind hoax,sadness,22
would feel lucky call material kit site mine beautifully curated,joy,11
blood proved reason feeling lethargic rubbish low iron prescribed iron tablet,sadness,21
mind feel like mind dangerous life,anger,10
feel like love everyone least compassionate toward others,love,6
feel punished neglecting,sadness,8
feel like doesnt capture beauty lovely polish,love,6
feel like lost main root feel less secure emotionally financially socially,sadness,8
feel like bite bullet every time think feel stressed im fully supported decision,sadness,17
know obnoxiously immature sounding verbal tic voice kind nasal always come across like sharpest tool shed especially feeling awkward knowing knowing know,sadness,25
id terrible nightmare feeling little disturbed,sadness,6
didnt want walk passed case customer feel disturbed,sadness,6
want sufferer able find hope battle help feel alone,sadness,17
feeling exceptionally reluctant go school tomorrow even though monday timetable pretty good,fear,8
festive feel delicious wheeeeee great night,joy,7
looking forward beaten feeling like disappointment husband emotional pain,sadness,13
im sick feeling crappy,sadness,1
feel like almost convinced going pattern,joy,8
also wear im wearing dress make feel slutty feel like antique underwear obviously little bit edgy maybe little bit little bit,love,15
feel perverse pride self control managed stay ordered reach tempting human flesh close u,sadness,16
feel impatient easily annoyed outraged blatant defiance seems olivias prominent characteristic day,anger,11
positively giddy kid left morning last official class year im feeling little sad,sadness,13
feel supportive also cant help feel jealous,love,5
mainly like text feel like much clever written word rather spoken,joy,12
seriouly feel respected dont privacy ordered around,joy,11
said word devotee feel relieved hear title deen bandhu fallen person become afraid title uplifter devotee consider true devotee hence unworthy benefit aspect personality,joy,37
personality feel pain suffering,sadness,4
guess would feel like joseph walt trusting care mother finance six month died time want defend self god make quiet,joy,23
warming starting feeling little lethargic,sadness,4
feel excelent sometimes there nothing especially since im really keen video game anymore watch bit anime movie there got life,joy,19
wonder master feeling r wanting eager please master could much enjoy attention wrong desire return affection,joy,31
im feeling little bit positive thing quite hard first saving eaten quickly cost didnt want become burden boyfriend weve come end im feeling brighter inspired thing come,joy,26
im feeling rather sentimental right say feel lucky max mom,sadness,10
make show feel isolated crowd ill know wrong anti social feeling,sadness,10
ive learned turn emotion often find feeling completely blank mother cry continuously suicidalness,sadness,16
feel loyal style,love,2
understand may feel youd rather bit vulnerable homeless london precise way,fear,13
finally stop feeling listless like waste space,sadness,5
know im feeling agitated side effect high dose,fear,9
feel shift positive,joy,8
feeling brave enough,joy,2
fear thief,fear,1
feel clever nov,joy,1
always spend money mean feel dissatisfied exit store,anger,10
im feeling really quite angry,anger,0
feel kerry didnt supporting civil union gay equality,love,4
feel really ashamed,sadness,1
feel amazing people life,surprise,6
finally left feeling judged ridiculed intelligent,joy,5
starting feel bit insulted stranger,anger,6
many day feel hopeless today light end yellow brick road shining little brighter,sadness,12
actually feel sorrowful,sadness,1
see woman wearing boot feel envious want curse,anger,6
feel feel tell together apologize make keep loving bit bit,love,16
go say feeling impressed youre naomi klein right,surprise,9
began feel sens dull cold black unconsciousness came,sadness,9
suspect feel less fond private,love,3
honoured young woman felt comfortable enough ask kind faux hawk thing going back must looked dykey enough feel safe talking,joy,21
wonder cast caveman told perfect part feel insulted complimented,anger,19
feel convinced plus many diverse price tag feel sure everyone come fund plot lighted relatively economically,joy,14
feel empty baby isnt,sadness,4
stopped feeling exhausted href http provokingbeauty,sadness,3
im feeling font friendly,joy,0
hand bead consciously breathing consciously working feel calm list thing accomplish afternoon,joy,11
always feel intimidated people especially always compare people ever since young,fear,10
made feel rotten,sadness,3
started feeling hostile checking hemorrhoid,anger,5
love wearing new shoe feel glamourous get pair designer shoe love box trimming come,joy,17
know largely fact feeling romantic sexual successfully hidden,love,14
love feeling something warmly hugging feeling precious small precious someone something,joy,9
im feeling far mellow normal,joy,2
became dismayed studied people wearing started feeling like though outfit gorgeous bought way,joy,14
dont want wax draw anything need unibrow maybe get rid spare hair creeping toward eyelid im feeling brave,joy,21
im feeling lucky width li style border px list style outside margin px px,joy,0
recall high school feeling longing watched olympic runner feel st,love,9
woke feeling confident watched bodypump dvd gather coaching tip compulsory cue,joy,7
didnt say strong feeling always make skeptical first,fear,5
want talk limited time phone current arrangment feel hesitant bring,fear,19
beginning feel there good chance might pas,joy,6
feel like little control help sweet pea better know ahead,joy,11
feel like receiving end violent attack,anger,7
feel worthwhile document people familiar batch file,joy,10
feeling especially thankful many small blessing life right,joy,9
hoping weatherman right forecast stay home dont venture rain tomorrow feeling kind creative,joy,14
feel like im edge microcosm one awkward moment missed party id outside,sadness,12
feel bit funny actually,surprise,2
learnt nothing else last two year best feel way trusting instinct,joy,13
feeling also blossoming eager anxiety,joy,4
feel burdened share,sadness,3
always want nemo side sleeping without feel weird even though doesnt happen often get,surprise,10
im feeling outfit heel gorgeous,joy,5
feel confused,fear,3
feel session useful gave tool need move forward life,joy,10
feel selfish bringing loneliness child know parent newtown grieving lost baby,anger,11
took away disappointed feeling paining gave heart heal lord one love never betrayed never lose loyalty even loyal,love,21
feel envious embarrassed,anger,2
could feel frantic need need make,fear,8
feeling overwhelmed responsibility teacher someone trusting precious gift honor,surprise,17
feel tranquil right great,joy,4
feel frustrated new music new lyric clearly nothing,anger,12
thought going talk try work thing shocked find steve decided wanted thing broke feeling unloved,sadness,26
wouldnt beared witness incredibly well spoken bouncer making emo kid feel completely unwelcome,sadness,5
tend stop breathing feeling stressed,sadness,5
smoker year quit week ago right finished book cant believe free feel knew quit terrified life without cigarette,fear,22
go mailbox talk mailman grocery clerk etc matter small step limited risk complete total willingness experience whatever thought feeling sensation emerge important,joy,21
already feeling frantic,fear,2
feel like insecurity good thing first started writing pictured,joy,9
feel complimented insulted,anger,3
crave fall submission feel submissive least,sadness,10
feel tender fine,love,8
feel irritated pissed even like someone wake moment edge falling deep slumber,anger,14
made work feeling little groggy,sadness,7
want love feel like sort hindrance thats keeping loving,love,11
feel fond ok second thought really sensitive spelled everything,love,10
ill get round quarter im feeling hopeful one,joy,5
im starting feel unwelcome life people already tell,sadness,6
feel absolutely fantastic hope baby,joy,5
watched snow fall accumulate conifer tree shoveling shirt sleeve feeling vigorous,joy,11
feel bitter honkerblonked general,anger,5
feeling father already convinced,joy,8
love feel passionate living dream gotten taste feel like nothing stop,love,17
play rain squeal glee feeling mud squishing toe enjoy pretty much anything take place outdoors,joy,11
feeling humorous put cold caller hold,joy,4
busy stuff never blog thread make feel miserable,sadness,12
feel energized curious life god potential give something back society finding someone heart,surprise,13
feel privileged also lot work,joy,7
im pretty happy little nauseated side feel thrilled,joy,5
close eye hear pitiful wailing sound cry taste salty taste tear feel anger hurt saturating heart,sadness,15
bought virtually fat free thousand island feeling impressed hold large quantity substance leaf lettuce cucumber friend total sugar becomes burn fat,surprise,22
im sure folk virginia florida handful swing state agree feel put upon insulted constant barrage,anger,12
feel like im putting innocent man death row,joy,3
sure else help feel smart,joy,8
begin feel every waking moment devoted work,love,5
feel thankful lesson learning,joy,6
feel longing sadness see family child,love,11
feel distinctly called clermont focus little one seem naughty,love,6
hope feel glad gave many thing including memory cherish,joy,10
feeling pretty worthless right,sadness,3
feel project clever useful enough figured would start sharing instructables wrote first one weekend,joy,14
continued think along line probably would done dish anger got wed fight feeling completely abused,sadness,19
didnt feel especially nervous finland landed paris little unsure would ahead u thought st grade student janne suominen,fear,13
feel envious kid certain moment,anger,6
feeling like pretty crappy mom,sadness,3
im feeling pissed aac feeling kind miserable frustrated life whole week,anger,8
im scared anymore im fine feel terrific surgery,joy,6
still feel vulnerable around,fear,2
honestly sure feel stunned,surprise,5
feel caring person attract caring people life,love,9
im left feeling quite embarrassed say nothing new,sadness,4
feel unwelcome place buti cant decide scared anything ok situation staying dead end situation afraid thing get worse,sadness,24
may may cried thanking making child feel special loved,joy,10
really want go buy yardage art gallery play feel amazing,surprise,10
feel like shes losing sense self adapt think loyal,love,11
feel burdened several loved one miss big kid havent seen since friday,sadness,7
feel still really low abdomen,sadness,4
feel like welcomed tight knit family make sure feel alone ever,joy,10
feel doubtful,fear,3
usually use smaller lego however year student fine motor delay want student feel successful,joy,12
get exercise feel like im something worthwhile meantime,joy,6
feel like life rich fulfilling know people look way live feel misplaced pity,joy,14
feel blessed amazed yes excited,love,3
feel hesitant talking,fear,4
try get least minute day five day week though known skip workout feeling particularly lethargic lazy,sadness,15
feeling beaten sick utterly devoid hope ever life want,sadness,12
feel hesitant comment want add pileon seems clear involved learned past experience interested applying learning future project,fear,25
feel quite passionate communion tremendous importance personally theologically,love,8
im feeling happy well,joy,1
find much time think without feeling depressed actually able write imagine without feeling trapped like missing something near constant feeling city,sadness,20
got feeling brig sincere strong desire help others become successful financially also building strengthening relationship christianity,joy,12
feel like ive fake feeling lot often would liked,sadness,10
feeling energetic decided going bike rest temple,joy,11
im really like said understand way feel toni ight blamed excess merican dream seldom witnessed never er seen hah hah hah hah hah,sadness,10
happpy get good result field academic athletics,joy,8
dont know want work always something make feel stressed anxious work whatever job may job require sort rule pressure,sadness,19
id pop chair feeling like something worthwhile,joy,8
really hoping theyd get far enough ahead u could feel like navigating delighted punching second control headed onto trail wood,joy,22
feel like normally would angry thats actually think could never beautiful size,anger,11
wonder many people feel like perspective think sake without wanting turn result crappy work,sadness,33
feel indecisive whether feel book huckleberry finn censored,fear,8
known like kamiki kun laugh nozomi feel unpleasant knot stomach must think fool nonchan,sadness,15
made choice start recognizing feeling unloved kick choose keep persistence level allowing old reaction shut,sadness,20
feel like im hated celebrated cant wait till day say made,anger,10
still feel funny writing like maybe call spirit guide really observant cheerleader something,surprise,8
would rather feel nothing feel surprised find life depressing grey unrewarding,surprise,13
feel comfortable decision,joy,4
get really sweaty episode stomach feel really funny like free falling,surprise,8
feeling overwhelmed lately,fear,4
learnt much wonderful world beaubronz feel lovely tanning brand fit perfectly latest mantra stolen boudoir lash mother asma docrat,love,11
feel rebellious particularly like watching romcoms get feeling may pretty good writing,anger,13
didnt feel welcomed first entered morris quickly changed left feeling happy,joy,8
im contemplating feeling skeptical,fear,1
ive become anxious recent time certainly feeling amongst people belief siege often disadvantaged looked considered way different faith make less worthy regard said,sadness,28
feel like care im bit heartless,anger,7
hate chemo thought toxin washing every single cell making feel horrible make cringe,sadness,9
feel honoured hosted series talented,joy,9
love feel threatened around little,fear,7
feel reading allthingsbucks blog brought tear eye lump throat feeling worthwhile thing upset shouldnt write lame blog,joy,22
feeling determined didnt take long start nomming naughty stuff,joy,8
feel honored many wonderful artist display work public see,joy,10
remember fully stressed fun feel could lively,joy,14
feel dazed href http twitter,surprise,3
feel bitchy hurting,anger,5
always feel like ive assaulted pic,sadness,4
im thankful everything seems working wrap week new job also feeling pretty lucky people life,joy,18
feel incredibly isolated lonely,sadness,2
feel selfish talk anyone else thyroid want think dramatic whiny really hard understand yes someone look fine still feel terrible,anger,26
blood test yesterday perhaps im feeling particularly fond right doctor needle inside time spent dizzy head non meat eating nineteen year old female,love,22
admit worried feeling isolated work cubicle pretty much unless someone need,sadness,12
im feeling like life fairly sweet,love,1
going clean slate unilaterally forgiving feel wronged someone love intentionally carelessness thereby time forget perceived insult abuse,anger,20
feel like year teach get passionate job find love kid want try even harder,love,12
im one people bury feeling anger second giving sweet smile even pain anger,love,16
knew holy spirit work plus feel divine gooooood way like massage reassuring,joy,10
feel though ive reached point career im highly respected,joy,7
make light sometimes feel really awkward small group one one conversation,sadness,9
ive lot good day feel fabulous lot energy lately ive also bad day feel gigantic slow clumsy,joy,15
also feel like google hated seo know,sadness,5
didnt get wink sleep night continued feeling fabulous next morning,joy,8
feel like feel mistake time fucked sleep take,anger,10
love sliding nice big throbbing cock feeling gorgeous body man,joy,10
found novel position feeling bit uncertain stock market rally,fear,8
feel like judging want seem like needy girl know,sadness,19
im definitely feeling festive,joy,0
feel burdened presence,sadness,3
still feel little dazed sort disbelieving feeling oh god,surprise,8
feeling super excited week seem flying getting closer closer due date,joy,13
turned page feel like way getting back irresponcible year carefree college,joy,10
favourite choice book dvd u uk im feeling generous limit something like,love,32
feeling energetic alive happier long time,joy,9
feel really pathetic confronted,sadness,3
feel dangerous game activity,anger,4
feel world class player benzema mould would fantastic,joy,5
feeling terribly burdened impending anxiety trying keep eye prize,sadness,10
feel could unpleasant layered love healing forgiveness expectation thing turn well,sadness,9
im feeling gloomy completed nothing though im supposed complete many thing,sadness,4
working amount would like feel like lifestyle change successful far,joy,12
love porn industry feel satisfied fulfilled working say really bring big buck,joy,16
overhear victory tune geek ringtone feel triumphant,joy,5
love child literature author feel need dumb thing kid,sadness,9
soo quiet mixture sleeping well feeling bit isolated big group,sadness,11
feel greedy money hungry absolutely,anger,6
feel fucked want shut,anger,8
feel passionate certain topic love backing position actual knowledge fact instead relying solely opinion,joy,11
feel like today way suffering exam day open book everytime went home,sadness,9
feel surprised make,surprise,6
woke morning hike feeling jubilant,joy,5
feel like little kid whose mom proud touched soccer ball game,joy,9
feel miserable inside outside like,sadness,9
must find way accept limitation older without feeling held back resentful,anger,8
feel incredibly charmed people life exciting amazing chapter thing,joy,15
feel wronged judge people make time however also found actually life need responsible action people around u,anger,18
know feeling stem part accepted mainstream importantly community seek belongingness,joy,15
really like special edition really feel special song,joy,7
feel must blog constantly loyal fan baker thia sandwich scruncher course mini rex,love,12
im currently feeling way fucked mother tongue paper,anger,3
feel innocent love,joy,2
feel like sweet carby yet low glycemic meal breakfast often dessert,joy,8
feel safe encoding utf locale en isprivate false ismobile false mobileclass isprivateblog false languagedirection ltr feedlinks link rel alternate type application atom xml title could use standing ovation could,joy,4
really lose lot nesting homemaking instinct desire pregnant longer im pregnant worse get though get month reprieve feel creative around six month mark youll notice post halloween,joy,28
feel opportunity return moz god gracious gracious way giving heat desire despite self doubt uncertainty past,joy,15
feel really lucky found resource always felt answer needed asking,joy,14
keep running hill fitness wise feel fine along foot calf starting hurt also begin tire,joy,14
always sensitive every sense feel like assaulted drag away darkness,fear,13
supposed ought feel thankful adding sarcastic edge age,joy,9
couldnt help feel totally distraught utterly helpless lorena kidnapped tortured almost death band enemy desperate freedom,fear,14
